categoria,repositorio,modulo
OCA,account-analytic,*
OCA,account-closing,*
OCA,account-financial-reporting,*
OCA,account-financial-tools,*
OCA,account-invoicing,*
OCA,account-payment,*
OCA,bank-statement-import,*
OCA,connector,*
OCA,connector-odoo2odoo,*
OCA,contract,*
OCA,crm,*
OCA,e-commerce,*
TRESCLOUD,odoo-ecuador-contabilidad,*
TRESCLOUD,odoo-ecuador-contabilidad-avanzada,*
TRESCLOUD,odoo-ecuador-facturacion-electronica,*
TRESCLOUD,odoo-ecuador-inventario,*
TRESCLOUD,odoo-ecuador-rrhh,*
OCA,partner-contact,*
OCA,pos,*
OCA,product-attribute,*
OCA,product-variant,*
OCA,purchase-workflow,*
OCA,queue,*
OCA,reporting-engine,*
OCA,sale-workflow,*
OCA,server-tools,*
OCA,social,*
OCA,stock-logistics-workflow,*
OCA,web,*
OCA,website,*
TRESCLOUD,odoo-clientes-especificos/TRESCLOUD,*
TRESCLOUD,*,account_parent
